P1,P2,F1,F2,B1,B2
56.33,74.21,62.2,55.19,60.83,58.79
58.96,85.3,54.02,57.64,57.84,64.58
62.93,79.95,52.72,53.24,56.45,62.86
55.97,82.56,55.47,50.58,55.06,60.96
59.28,81.12,51.4,47.03,53.64,70.42
59.45,75.86,55.69,58.71,56.89,56.8
65.56,82.47,53.08,54.78,67.26,51.23
57.67,77.58,58.81,48.04,57.72,74.88
62.68,76.81,51.85,53.71,54.9,67.86
61.5,76.31,48.26,69.15,60.2,60.66
64.64,79.99,51.25,67.5,57.77,60.72
59.39,77.62,56.69,55.78,63.99,60.88
58.49,78.84,49.29,48.14,44.76,63.86
58.16,76.76,56.85,49.85,69.56,61.35
62.07,78.42,56.03,50.92,61.03,72.43
58.48,82.27,51.53,61.83,64.76,57.68
60.55,78.63,53.46,69.86,55.35,52.32
63.04,80.78,54.4,62.69,63.39,50.01
63.01,78.61,54.83,55.06,52.85,47.67
58.46,76.27,57.1,57.55,58.52,56.02
59.15,86.46,58.78,61.82,54.32,58.39
60.23,77.1,54.19,58.16,63.07,58.5
59.61,83.18,54.16,51.31,56.43,51.76
61.09,77.2,54.17,59.41,58.81,64.94
56.21,78.36,52.27,56.14,56.05,54.72
63.14,78.82,56.49,45.71,56.76,46.99
61.39,77.94,62.5,58.62,69.68,66.07
55.1,80.5,59.14,60.44,47.81,58.95
56.61,78.09,51.62,56.17,65.89,62.03
62.25,78.76,59.42,52.12,53.55,60.69
61.17,82.86,54.28,64.29,76.66,61.18
58.8,79.68,60.56,62.43,48.84,49.68
58.17,77.9,56.31,55.81,59.52,56.27
62.78,80.32,48.8,44.76,59.32,60.01
54.79,83.97,52.64,56.42,52.47,58.58
67.67,80.63,54.02,55.63,62.69,65.49
58.9,79.22,58.63,56.84,63.45,57.74
56.68,78.71,60.53,55.78,54.35,51.17
53.4,79.87,53.6,55.24,53.79,53.03
61.84,77.55,53.06,40.56,50.05,59.91
57.07,84.78,53.66,55.61,47.95,66.3
61.43,76.84,58.68,59.44,60.77,54.09
59.54,74.91,53.26,58.68,64.1,55.13
62.19,79.8,52.34,67.9,62.86,57.22
56.73,81.82,55.03,52.73,51.63,53.04
59.26,77.04,55.54,70.34,67.58,51.97
60.19,78.71,56.59,60.12,61.95,60.99
60.5,77.87,54.73,56.04,58.86,68.95
59.34,83.09,57.09,50.75,61.59,55.97
63.45,81.14,53.35,67.76,63.04,66.19
,,,58.55,59.89,58
,,,65.1,67.6,58.35
,,,64.31,57.64,58.72
,,,43.27,61.35,56.94
,,,57.78,56.68,62.76
,,,62.31,55.07,52.67
,,,56.72,53.88,66.55
,,,44.32,56.39,75.94
,,,59.99,52.56,60.05
,,,53.05,71.37,66.35
,,,54.26,60.05,61.4
,,,53.77,59.99,60.16
,,,54.09,66.13,55.3
,,,55.4,59.64,56.08
,,,64.79,56.7,62.91
,,,52.01,54.9,58.27
,,,62.44,57.81,62.05
,,,56.11,46.14,71.05
,,,48.19,59.03,69.88
,,,58.28,59,47.07
,,,62.54,56.48,56.35
,,,55,57.28,48.32
,,,58.8,53.52,64.11
,,,56.32,61.46,60.94
,,,61.31,51.82,72.27
,,,42.8,60.89,53.86
,,,57.32,59.9,60.39
,,,56.38,54.47,62.44
,,,56.43,61.46,73.67
,,,54.72,56.01,64.42
,,,54.69,64.06,56.45
,,,66.98,53.08,52.96
,,,67.07,61.79,58.73
,,,61.14,59.98,62.01
,,,61.11,50.66,52.22
,,,65.49,62.1,57.74
,,,59.02,57.04,56.71
,,,58.54,58.7,56.75
,,,55.08,59.71,63.38
,,,53.51,60.37,65.11
,,,54.97,57.4,58.81
,,,59.1,59.47,66.28
,,,58.28,60.78,66.45
,,,54.78,64.47,54.13
,,,58.19,52.64,67.23
,,,50.73,57.31,69.05
,,,54.34,58.12,63.55
,,,42.22,56.91,52.71
,,,66.27,52.39,50.35
,,,53.37,55.75,62.27
,,,65.91,68,56.79
,,,51,59.22,54.75
,,,48.51,56.95,55.41
,,,51.71,59.28,57.05
,,,58.68,58.81,56.71
,,,65.84,58.25,54.45
,,,58.95,59.97,58.8
,,,63.44,64.12,61.25
,,,52.24,47.7,71.99
,,,53.01,63.77,46.67
,,,67.75,61.05,67.69
,,,64.1,63,54.8
,,,57.18,60.29,60.81
,,,58.63,57.31,61.55
,,,49.74,53.78,65.37
,,,63.94,58.08,69.29
,,,60.76,58.62,61.03
,,,50.69,68.09,63.96
,,,57.6,57.08,56.55
,,,57.78,61.25,70
,,,58.84,56.88,62.84
,,,59.71,58.73,55.01
,,,57.82,52.37,57.66
,,,57.77,62.16,50.55
,,,67.54,62.44,57.8
,,,66.78,54.68,58.3
,,,55.53,56.41,63.29
,,,60.85,56.03,58.31
,,,55.62,58.7,54.83
,,,54.44,52.5,56.13
,,,62.07,54.18,48.57
,,,61.73,49.75,47.95
,,,53,57.92,65.75
,,,56.9,50.67,53.48
,,,49.55,58.97,60.63
,,,60.14,67.88,46.3
,,,42.75,57.69,55.99
,,,57.94,50.56,63.97
,,,54.17,58.44,53.34
,,,48.11,62.23,48.82
,,,49.75,64.03,63.53
,,,50.26,59.68,53.66
,,,47.87,59.36,56.09
,,,69.15,61.68,54.23
,,,62.54,57.91,58.68
,,,74.85,66.89,60.37
,,,62.3,58.24,58.47
,,,52.5,62.34,62.09
,,,57.55,59.08,62.52
,,,54.13,55.91,63.97
,,,53.3,57.91,100.56
,,,54.12,49.78,85.02
,,,52.78,61.14,96.72
,,,74.58,55.57,99.37
,,,52.66,60.32,108.67
,,,57.08,56.59,96.01
,,,68.34,63.42,103.74
,,,51.73,53,95.83
,,,57.26,50.85,82.85
,,,47.95,54.03,101.74
,,,49.84,65.36,104.57
,,,57.96,55.69,95.38
,,,56.57,51.45,101.82
,,,57.6,50.92,100.55
,,,60.74,59.63,97.07
,,,58.53,52.5,100.98
,,,65.73,49.17,92.86
,,,56.1,64.19,93.92
,,,60.95,55.93,98.34
,,,51.41,54.88,103.48
,,,48.5,64.56,101.68
,,,54.45,63.74,104.94
,,,50,51.64,95.2
,,,53.91,67.18,102.08
,,,70.98,67.85,84.52
,,,53.01,65.75,98.27
,,,52.67,67.81,104.16
,,,60.05,62.98,92.92
,,,62.24,58.74,96.24
,,,55.1,56.96,111.91
,,,46.79,46,92.37
,,,69,61.63,93.26
,,,61.17,62.36,101.36
,,,60.94,60.91,99.89
,,,55.61,70.95,93.56
,,,58.27,58.01,101.83
,,,55.4,76,98.19
,,,51.64,64.67,94.37
,,,64.76,60.64,101.46
,,,52.75,60.72,96.32
,,,57.1,60.97,102.99
,,,58.27,63.15,92.97
,,,49.46,64.31,97.34
,,,61.2,51.88,99.53
,,,59.38,63.41,99.85
,,,59.84,52,96.75
,,,57.42,63.49,96.34
,,,52.5,57.62,93.28
,,,63.86,62.69,99.71
,,,56.45,61.11,96.05
,,,64.89,,
,,,59.56,,
,,,60.1,,
,,,48.35,,
,,,67.29,,
,,,71.59,,
,,,51.85,,
,,,71.66,,
,,,49.65,,
,,,61.01,,
,,,49.21,,
,,,59.53,,
,,,46.57,,
,,,64.01,,
,,,58.68,,
,,,54.42,,
,,,48.1,,
,,,55.17,,
,,,56.01,,
,,,52.74,,
,,,54.9,,
,,,59.79,,
,,,61.4,,
,,,66.12,,
,,,54.73,,
,,,58.72,,
,,,62.18,,
,,,65.97,,
,,,62.17,,
,,,57.96,,
,,,43.56,,
,,,59.45,,
,,,52.95,,
,,,55.43,,
,,,54.66,,
,,,47.57,,
,,,65.83,,
,,,54.08,,
,,,49.8,,
,,,55.15,,
,,,64.78,,
,,,45.39,,
,,,58.7,,
,,,60.52,,
,,,51.03,,
,,,57.24,,
,,,54.72,,
,,,56.5,,
,,,72.11,,
,,,59.97,,
,,,62.12,,
,,,63.95,,
,,,59.98,,
,,,56.55,,
,,,56.54,,
,,,54.55,,
,,,58.35,,
,,,61.48,,
,,,51.95,,
,,,58.72,,
,,,56.86,,
,,,55.94,,
,,,42.92,,
,,,61.17,,
,,,64.45,,
,,,51.58,,
,,,43.73,,
,,,55.68,,
,,,56.65,,
,,,53.62,,
,,,70.42,,
,,,59.98,,
,,,51.44,,
,,,60.77,,
,,,63.32,,
,,,59.37,,
,,,49.96,,
,,,45.31,,
,,,53.73,,
,,,61.92,,
,,,39.85,,
,,,57.77,,
,,,55.53,,
,,,56.83,,
,,,54.8,,
,,,59.66,,
,,,57.99,,
,,,54.46,,
,,,54.14,,
,,,67.15,,
,,,66.13,,
,,,57,,
,,,62.91,,
,,,58.18,,
,,,53.88,,
,,,64.97,,
,,,48.84,,
,,,58.49,,
,,,52.95,,
,,,51.02,,
,,,67.02,,
,,,47.83,,
,,,48.91,,
,,,49.91,,
,,,56.89,,
,,,53.4,,
,,,58.11,,
,,,61.52,,
,,,54.33,,
,,,53.02,,
,,,68.2,,
,,,59.23,,
,,,52.02,,
,,,51.69,,
,,,46.77,,
,,,57.63,,
,,,59.32,,
,,,53.09,,
,,,59.6,,
,,,55.16,,
,,,47.95,,
,,,49.6,,
,,,58.02,,
,,,60.82,,
,,,57.67,,
,,,56.66,,
,,,60.09,,
,,,64.27,,
,,,58.9,,
,,,56.33,,
,,,56.33,,
,,,47.9,,
,,,58.43,,
,,,57.91,,
,,,59.47,,
,,,61.88,,
,,,75.69,,
,,,53.07,,
,,,42.7,,
,,,58,,
,,,58.69,,
,,,58.22,,
,,,49.55,,
,,,58.71,,
,,,60.1,,
,,,52.67,,
,,,55.32,,
,,,56.02,,
,,,54.34,,
,,,47.2,,
,,,72.87,,
,,,72.13,,
,,,66.88,,
,,,54.37,,
,,,55.13,,
,,,49.97,,
,,,45.42,,
,,,61.1,,
,,,66.91,,
,,,67.67,,
,,,57.36,,
,,,63.54,,
,,,61.02,,
,,,52.54,,
,,,55.59,,
,,,53.61,,
,,,61.81,,
,,,47.12,,
,,,49.9,,
,,,53.6,,
,,,54.99,,
,,,66.18,,
,,,46.14,,
,,,55.98,,
,,,46.59,,
,,,57.42,,
,,,56.91,,
,,,57.54,,
,,,55.06,,
,,,57.94,,
,,,50.84,,
,,,50.79,,
,,,55.06,,
,,,66.44,,
,,,61.76,,
,,,51.62,,
,,,58.61,,
,,,48.96,,
,,,51.9,,
,,,49.08,,
,,,66.97,,
,,,52.51,,
,,,59.66,,
,,,56.73,,
,,,55.68,,
,,,61.2,,
,,,56.84,,
,,,51.18,,
,,,49.71,,
,,,52.38,,
,,,64.33,,
,,,57.95,,
,,,55.03,,
,,,53.05,,
,,,50.26,,
,,,58.25,,
,,,70.34,,
,,,65.98,,
,,,55.1,,
,,,59.34,,
,,,60.59,,
,,,63.3,,
,,,46.52,,
,,,54.04,,
,,,56.02,,
,,,55.75,,
,,,49.62,,
,,,56.69,,
,,,60.51,,
,,,61.06,,
,,,60.46,,
,,,64.09,,
,,,61.82,,
,,,60.25,,
,,,53.82,,
,,,53.2,,
,,,61.08,,
,,,49.25,,
,,,65.02,,
,,,55.35,,
,,,68.98,,
,,,59.89,,
,,,53.85,,
,,,63.44,,
,,,59.44,,
,,,63.23,,
,,,63.83,,
,,,62.85,,
,,,52.62,,
,,,52.38,,
,,,51.7,,
,,,62.81,,
,,,50.77,,
,,,60.17,,
,,,65.1,,
,,,59.97,,
,,,58.06,,
,,,63.1,,
,,,49.14,,
,,,43.6,,
,,,105.25,,
,,,98.83,,
,,,105.76,,
,,,105.72,,
,,,98.31,,
,,,92.79,,
,,,103.67,,
,,,81.91,,
,,,90.49,,
,,,86.85,,
,,,114.58,,
,,,96.28,,
,,,101.19,,
,,,99.02,,
,,,95.02,,
,,,86.45,,
,,,98.07,,
,,,96.2,,
,,,99.44,,
,,,103.73,,
,,,100.74,,
,,,88.19,,
,,,104.91,,
,,,96.38,,
,,,96.63,,
,,,97.9,,
,,,109.2,,
,,,99.15,,
,,,101.22,,
,,,90.27,,
